Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
574,Beyond Eyes,N/A,Adventure,,0,0,0,0,0,Xbox One
575,Inside My Radio,N/A,Platform,,0,0,0,0,0,Xbox One
576,Kaiju Panic,N/A,Strategy,,0,0,0,0,0,Xbox One
577,Tembo the Badass Elephant,N/A,Platform,,0,0,0,0,0,Xbox One
578,Assassin's Creed Chronicles: Russia,N/A,Action,,0,0,0,0,0,Xbox One
579,Assassin's Creed Chronicles: India,N/A,Action,,0,0,0,0,0,Xbox One
580,Overlord: Fellowship of Evil,N/A,Action,,0,0,0,0,0,Xbox One
581,R.B.I. Baseball 15,2015,Sports,MLB.com,0,0,0,0,0,Xbox One
582,The Walking Dead: Michonne,N/A,Adventure,,0,0,0,0,0,Xbox One
583,Unravel,N/A,Platform,,0,0,0,0,0,Xbox One
584,Tachyon Project,N/A,Action,,0,0,0,0,0,Xbox One
585,Cross Reverie,2017,Role-Playing,Sinxsoft,0,0,0,0,0,Xbox One
586,Goosebumps: The Game,N/A,Adventure,,0,0,0,0,0,Xbox One
587,The Escapists: The Walking Dead,2015,Action,Team17 Software,0,0,0,0,0,Xbox One
588,Woodcutter Simulator 2016,2015,Action,Namco Bandai Games,0,0,0,0,0,Xbox One
589,Professional Farmer 2016,2015,Action,Namco Bandai Games,0,0,0,0,0,Xbox One
590,Professional Lumberjack 2016,2015,Simulation,Namco Bandai Games,0,0,0,0,0,Xbox One
591,Alekhine's Gun,2016,Action,Maximum Games,0,0,0,0,0,Xbox One
592,World to the West,2017,Action-Adventure,Soedesco,0,0,0,0,0,Xbox One
593,The Binding of Isaac: Rebirth,N/A,Action,,0,0,0,0,0,Xbox One
594,Super Dungeon Bros,2016,Action,Wired Productions,0,0,0,0,0,Xbox One
595,Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,0,0,0,0,0,Xbox One
596,De-formers,N/A,Action,,0,0,0,0,0,Xbox One
597,Wonder Boy: The Dragon's Trap (Remake),N/A,Platform,,0,0,0,0,0,Xbox One
598,Rock of Ages II: Bigger and Boulder,N/A,Action,,0,0,0,0,0,Xbox One
599,Fe,N/A,Action,,0,0,0,0,0,Xbox One
600,We Sing (2016),2016,Music,THQ Nordic,0,0,0,0,0,Xbox One
601,Don Bradman Cricket 17,2016,Sports,Tru Blu Entertainment,0,0,0,0,0,Xbox One
602,Ace Combat 7: Skies Unknown,2019,Shooter,Bandai Namco Games,0,0,0,0,0,Xbox One
603,The Sexy Brutale,N/A,Adventure,,0,0,0,0,0,Xbox One
604,Metro Exodus,2019,Shooter,Deep Silver,0,0,0,0,0,Xbox One
605,Anthem,2019,Role-Playing,Electronic Arts,0,0,0,0,0,Xbox One
606,AereA,2017,Role-Playing,Soedesco,0,0,0,0,0,Xbox One
607,Moons Of Madness,2018,Role-Playing,Unknown,0,0,0,0,0,Xbox One
608,Iron Harvest,2018,Strategy,Unknown,0,0,0,0,0,Xbox One
609,Biomutant,2018,Action,THQ Nordic,0,0,0,0,0,Xbox One
610,Biomutant,2019,Action,THQ Nordic,0,0,0,0,0,Xbox One
611,de Blob,2017,Platform,THQ Nordic,0,0,0,0,0,Xbox One
612,Outcast: Second Contact,2017,Adventure,Bigben Interactive,0,0,0,0,0,Xbox One
613,Code Vein,2019,Action,Bandai Namco Entertainment,0,0,0,0,0,Xbox One
